year,GEOID,ebll_pct,ela_fail_impov,ela_fail_rate
2015,36067000100,0,3.333,3.333
2015,36067000200,13.9,9.268,9.239
2015,36067000300,6.5,6.25,4.5
2015,36067000400,7.7,8,7.407
2015,36067000501,18.1,9.014,9.054
2015,36067000600,13,8.961,8.75
2015,36067000700,7.6,8.461,8.689
2015,36067000800,20.5,8.677,8.875
2015,36067000900,1.5,7.619,5.854
2015,36067001000,3.4,8.723,8.305
2015,36067001400,18.9,8.667,8.75
2015,36067001500,19.4,8.533,8.75
2015,36067001600,7.3,7.5,8.333
2015,36067001701,8.5,8.333,8.085
2015,36067001702,9.7,7.333,7.333
2015,36067001800,2.8,8.696,7.568
2015,36067001900,1.2,8.276,6.415
2015,36067002000,13.2,8.485,8.628
2015,36067002101,17.7,9.194,8.714
2015,36067002300,25.6,8.077,8.214
2015,36067002400,11.5,8.823,8.611
2015,36067002700,6,8.5,8.276
2015,36067002901,10,9.394,9.556
2015,36067003000,9.3,9.405,9.362
2015,36067003200,3.7,0,0
2015,36067003400,6.5,8.966,8.889
2015,36067003500,5.1,8.974,8.597
2015,36067003601,7.8,8.367,8.333
2015,36067003602,3.4,7.273,7.333
2015,36067003800,16.3,9.268,9.333
2015,36067003900,23.1,9.402,9.474
2015,36067004000,16.4,9.4,9.107
2015,36067004200,3.3,9.324,9.268
2015,36067004301,0,7.5,8.333
2015,36067004302,NA,5,5
2015,36067004400,NA,10,4
2015,36067004500,2,7.5,2.667
2015,36067004600,1,6.875,6.429
2015,36067004800,0,7.5,5.556
2015,36067004900,12.1,7.222,6.25
2015,36067005000,13.1,7.895,6.098
2015,36067005100,19.7,9.062,8.864
2015,36067005200,20.8,9.575,9.649
2015,36067005300,15.7,9.143,9.189
2015,36067005400,20.9,9.438,9.485
2015,36067005500,1.8,9.5,8.8
2015,36067005601,4.9,0,2.5
2015,36067005602,NA,10,NA
2015,36067005700,14.9,9,7.941
2015,36067005800,21,8.919,9.024
2015,36067005900,21.2,9.583,9.615
2015,36067006000,10.9,9.483,9.091
2015,36067006101,11,8.71,8.784
2015,36067006102,4.2,7.5,8
2015,36067006103,14.3,8.5,8.158
2015,City,1260,NA,NA
2016,36067000100,0,0,0
2016,36067000200,11.4,8.571,8.243
2016,36067000300,10.3,6.957,5.862
2016,36067000400,6.3,8.049,6.808
2016,36067000501,16.5,9.189,8.947
2016,36067000600,15.4,8.853,8.857
2016,36067000700,18.1,8.222,8.182
2016,36067000800,13.4,8.546,8.75
2016,36067000900,3.2,6.071,6
2016,36067001000,1.8,7.451,7.733
2016,36067001400,15.9,8.837,8.83
2016,36067001500,16.7,9.149,9
2016,36067001600,12.7,9.5,9.167
2016,36067001701,8.5,8.548,8.718
2016,36067001702,4.8,9.375,8.108
2016,36067001800,3.8,8.214,6.585
2016,36067001900,1.4,8.611,8.461
2016,36067002000,11.2,9.63,9.667
2016,36067002101,13.8,9,8.667
2016,36067002300,25,8.056,8.056
2016,36067002400,9.6,8.809,8.958
2016,36067002700,4.4,8.333,8.214
2016,36067002901,9,8.75,8.75
2016,36067003000,10.6,9.219,9.091
2016,36067003200,4,0,0
2016,36067003400,0,8.235,8.571
2016,36067003500,7.1,8.889,8.448
2016,36067003601,6.8,9.016,9.079
2016,36067003602,4.6,7.273,7.857
2016,36067003800,17.7,9.296,9.189
